iter	Passed	Remaining
838	1028	197
839	1029	196
840	1031	194
841	1032	193
842	1033	192
843	1034	191
844	1035	189
845	1036	188
846	1037	187
847	1038	186
848	1038	184
849	1039	183
850	1040	182
851	1041	180
852	1042	179
853	1043	178
854	1044	177
855	1045	175
856	1046	174
857	1047	173
858	1048	172
859	1049	170
860	1050	169
861	1051	168
862	1052	167
863	1053	165
864	1054	164
865	1055	163
866	1056	162
867	1057	160
868	1058	159
869	1059	158
870	1060	157
871	1061	155
872	1062	154
873	1063	153
874	1064	152
875	1065	150
876	1066	149
877	1067	148
878	1068	147
879	1069	145
880	1070	144
881	1071	143
882	1072	142
883	1073	140
884	1074	139
885	1074	138
886	1076	137
887	1077	135
888	1078	134
889	1079	133
890	1080	132
891	1080	130
892	1081	129
893	1082	128
894	1083	127
895	1084	125
896	1085	124
897	1086	123
898	1087	122
899	1088	120
900	1088	119
901	1089	118
902	1090	117
903	1091	115
904	1092	114
905	1093	113
906	1094	112
907	1095	110
908	1096	109
909	1097	108
910	1098	107
911	1099	106
912	1099	104
913	1100	103
914	1101	102
915	1102	101
916	1103	99
917	1104	98
918	1105	97
919	1105	96
920	1106	94
921	1108	93
922	1108	92
923	1109	91
924	1110	90
925	1111	88
926	1112	87
927	1113	86
928	1114	85
929	1115	83
930	1116	82
931	1117	81
932	1118	80
933	1119	79
934	1120	77
935	1122	76
936	1123	75
937	1124	74
938	1125	73
939	1126	71
940	1127	70
941	1128	69
942	1129	68
943	1130	67
944	1131	65
945	1132	64
946	1133	63
947	1134	62
948	1135	61
949	1136	59
950	1137	58
951	1138	57
952	1139	56
953	1140	55
954	1141	53
955	1142	52
956	1143	51
957	1144	50
958	1145	48
959	1146	47
960	1147	46
961	1148	45
962	1149	44
963	1150	42
964	1151	41
965	1152	40
966	1153	39
967	1155	38
968	1156	36
969	1157	35
970	1158	34
971	1159	33
972	1160	32
973	1161	30
974	1162	29
975	1163	28
976	1164	27
977	1165	26
978	1166	25
979	1167	23
980	1168	22
981	1169	21
982	1170	20
983	1172	19
984	1172	17
985	1173	16
986	1175	15
987	1175	14
988	1176	13
989	1177	11
990	1178	10
991	1179	9
992	1180	8
993	1181	7
994	1182	5
995	1183	4
996	1184	3
997	1185	2
998	1186	1
999	1187	0
